algorithm_id,statistic_id,name,description,separability,mathjax,communication_rounds,adaptive_rounds,communication_direction,requires_branching,requires_persistence,differential_privacy,homomorphic_encryption,multiparty_computation,computational_complexity,communication_complexity,created_at,updated_at,notes
algo_count_datashare,stat_count,Data sharing,Sending all the data required to count subjects in one place.,none,$Total = \sum{rows}$,1,FALSE,client_to_aggregator,FALSE,FALSE,FALSE,none,none,,,13/10/2025 10:00,13/10/2025 10:00,
algo_count_sum,stat_count,Sum of counts,Sending the counts from each node to be added together.,fully,$Total = \sum{counts}$,1,FALSE,client_to_aggregator,FALSE,FALSE,FALSE,compatible,compatible,,,13/10/2025 10:00,13/10/2025 10:00,
algo_mean_datashare,stat_mean,Data sharing,Sending all the data required to calculate the mean of subjects in one place.,none,$Mean = \frac{\sum{values}}{n}$,1,FALSE,client_to_aggregator,FALSE,FALSE,FALSE,none,none,,,13/10/2025 10:00,13/10/2025 10:00,
algo_mean_decomp,stat_mean,Basic decomposition,Sending the local sums of the value and the counts to an aggregator to calculate the aggregate mean,fully,$Mean = \frac{\sum{sum \times count}}{\sum{counts}}$,1,FALSE,client_to_aggregator,FALSE,FALSE,FALSE,compatible,compatible,,,13/10/2025 10:00,13/10/2025 10:00,
algo_var_datashare,stat_variance,Data sharing,,none,,1,FALSE,client_to_aggregator,FALSE,FALSE,FALSE,none,none,,,13/10/2025 10:00,13/10/2025 10:00,
algo_var_decomp,stat_variance,Basic decomposition,"Using sufficient statistics to compute variance: sum, sum of squares, and count",fully,,1,FALSE,client_to_aggregator,FALSE,FALSE,FALSE,compatible,compatible,,,13/10/2025 10:00,13/10/2025 10:00,
algo_cov_decomp,stat_covariance,Basic decomposition,,fully,,1,FALSE,client_to_aggregator,FALSE,FALSE,FALSE,none,none,,,13/10/2025 10:00,13/10/2025 10:00,
algo_sampsize_pool,stat_sample_sizes,Basic pooling,,fully,,1,FALSE,client_to_aggregator,FALSE,FALSE,FALSE,none,none,,,13/10/2025 10:00,13/10/2025 10:00,
algo_hist_pool,stat_histogram,Basic pooling,"Each TRE bins data locally,  aggregator sums frequencies per bin",fully,,1,FALSE,client_to_aggregator,FALSE,FALSE,FALSE,none,none,,,13/10/2025 10:00,13/10/2025 10:00,Requires agreement on bin boundaries across TREs
algo_km_datashare,stat_kaplan_meier,Data sharing,,none,,1,FALSE,client_to_aggregator,FALSE,FALSE,FALSE,none,none,,,13/10/2025 10:00,13/10/2025 10:00,
